No Mag.,Nom Mag.,Adresse Mag.,Ville,Postal
8254,C-IGA Marché R. Martin Inc,11 Rue de L'Aqueduc,Victoriaville,G6P 1L5
8259,C-IGA 9128-3820 Québec Inc.,1526 Rue Sherbrooke,Magog,J1X 2T3
8264,C-IGA*Marché Suzanne Albert Inc.,465 Avenue Bethany,Lachute,J8H 4H3
8268,C-IGA Extra Aliment. Duchemin Inc.,1535 Boul. Le Corbusier,Laval,H7S 2K6
8270,C-IGA*Extra Cartier,307 Boul. Cartier Ouest,Laval,H7N 1J1
8273,C-IGA Fam. Crégheur La Pinière,2765 Boul. La Pinière,Terrebonne,J6Y 0G3
8283,C-IGA E  Faubourg Greenfield,300 Rue Auguste,Greenfield Park,J4V 3R4
8293,C-IGA*Marché Famille Primeau Inc.,530 Boul. Cadieux,Beauharnois,J6N 0R5
8295,C-IGA Girard,14995 Rue Des Saules,Mirabel,J7N 2A3
8296,C-IGA Fam. Crégheur St-Lin-Laurentides,2305 Avenue du Marché,St-Lin-des-Laurentides,J5M 0G3
8311,C-IGA Extra 9702571 Canada Inc.,130 Chemin Du Lac-Millette,St-Sauveur,J8B 2J3
8312,C-IGA Quintal Des Oiseaux,380 Boul. Curé Labelle,Ste-Rose Laval,H7L 4T7
8313,IGA Extra Coop De Rimouski,395 Avenue Sirois,Rimouski,G5L 8R2
8314,IGA Extra Rimouski,375 Boul. Jessop,Rimouski,G5L 1M9
8316,C-IGA Extra Vallée,490  28ème Avenue,Lachine,H8S 3Z4
8327,C-IGA Alimentation Sogesco Inc.,3000 Boul. Laframboise,St-Hyacinthe,J2S 4Z4
8328,C-IGA Extra 9343-9487 Québec Inc.,5680 Boul. Des Laurentides,Auteuil Laval,H7K 2K2
8331,C-IGA Coop Consom. Dieppe Ltéé,615 Boul. Dieppe,Dieppe,E1A 0R9
8335,C-IGA Alimentation Proulx Inc.,675 Boul Des Seigneurs,Terrebonne,J6W 1T5
8341,C-IGA Marché Lambert & Frères,23 Boul. Seigneurial Ouest,St-Bruno de Montarville,J3V 2G9
8344,C-IGA Marche Masson Angers Inc.,112 rue Georges,Masson-Angers,J8M 1A2
8346,C-IGA Quintal & Frère,4805 Boul Arthur Sauve,Laval,H7R 3X2
8348,C-Marché Aliment. Deziel Inc.,1401 Boul. Crémazie E,Montréal,H2M 0B1
8353,C-IGA Gestion Famille Déziel Inc.,1869 Chemin Sainte-Angélique,St-Lazare,J7T 2X9
8363,C-IGA*Aliment. Proulx Terrebonne Inc.,2120 Boul. Gascon,Terrebonne,J6X 3A1
8365,C-IGA Marché Desjardins Inc.,1330 Boul. Benoît Gaboury,Mont-Joli,G5H 4B2
8367,C-IGA Aliment. Sévigny Inc.,640 Boul. Jacques-Bizard,Île-Bizard,H9C 2H2
8369,C-IGA 9045-9827 Québec Inc.,6060 Boul. Jean XXIII,Trois-Rivières,G8Z 4B5
8370,C-IGA  Marché Lamontagne & Fille Inc.,1199 Boul. St-Félicien,St-Félicien,G8K 3J1
8373,C-IGA Marché Montée Gagnon,50 Montée Gagnon,Bois-Des-Filion,J6Z 2L1
8374,C-IGA Girard,13380 Curé Labelle,St-Janvier,J7J 1G9
8377,C-IGA Gestion Famille Déziel Inc.,39 Boul. de la Cité-des-Jeunes,Vaudreuil-Dorion,J7V 0N3
8378,C-IGA Extra Marché Fam. Vincent inc.,1366 Boul. Mgr Langlois,Salaberry-de-Valleyfield,J6S 1E3
8380,C-IGA Extra 9362-8337 Québec Inc.,969 Rue Nordique,Beauport,G1C 7C8
8383,C-IGA Aliment. Beaubien & Fille Inc.,10760 Millen,Montréal,H2C 0A5
8389,C-IGA Extra Marché Senecal Inc.,9450 Boul. Lacordaire,St-Léonard,H1R 0C4
8395,C-IGA Extra Sobeys Capital Inc.,12 Place Triade,Pointe-Claire,H9R 0A2
8396,C-IGA Extra 9466-1071 Québec Inc.,82 Boul. Bromont,Bromont,J2L 2K3
8397,C-IGA Extra 9467-5204 Québec Inc.,645 Boul. Thibeau,Cap-de-La-Madeleine,G8T 6Z6
8468,C-IGA Extra 9477-2456 Québec Inc.,2305 Chemin Rockland local 5100,Montréal,H3P 3E9
8502,C-IGA 9268-7185 Québec Inc,585 Rue St-Hubert,Granby,J2H 1Y5
8505,C-IGA Famille Cregheur,5671 Boul. Laurier,La Plaine,J7M 1T7
8506,C-IGA Extra Vincent,3315 Chemin Chambly,Longueuil,J4L 4K5
8520,C-IGA Les Aliments Fam. Déziel Inc.,203 boul. des Grives,Gatineau,J9A 0C7
8526,C-IGA 9196-6150 Québec Inc.,1500 Rue de Bretagne,Baie-Comeau,G5C 3S9
8527,C-IGA Extra Marché Éric Veillette Inc.,180 Boul. Brien,Repentigny,J6A 7E9
8528,C-IGA Extra Fam. Crégheur Inc. (Lachenaie),1115 Montée Des Pionniers,Terrebonne,J6V 0E1
8529,C-IGA Sobeys Capital Inc,315 Rue Valmont,Repentigny,J5Y 0Y5
8530,C-IGA Extra Fam. Beauregard-Thibault Inc.,1315 Boul. Iberville,Repentigny,J5Y 4B8
8532,C-IGA Extra Lambert & Frères Inc.,2369 Chemin de Chambly,Carignan,J3L 4N4
8533,C-IGA Bourgault & Sanzone Inc.,12285 Boul. Rodolphe-Forget,Montréal,H1E 0A2
8540,C-IGA Extra M Leblanc Forté Fils Inc.,860 Boul. L'Ange Gardien N,L'assomption,J5W 1P1
8541,C-IGA Marché C&C Letort Inc. 8541,655 De La Visitation,St-Charles-Borromée,J6E 4P9
8542,C-IGA Marché Fam. Mondor Lavaltrie Inc.,81 Chemin Lavaltrie,Lavaltrie,J5T 2H5
8546,C-IGA Smarché C&C Lofort Inc.,17 Rue Gauthier Nord,Notre Dame Des Prairies,J6E 1T7
8547,C-IGA*Marché Duchemin et Frères,5600 Boul. Henri-Bourassa Ouest,St-Laurent,H4R 0M6
8548,C-IGA Supermarché Le Faubourg,2605 rue d'Annemasse,Boisbriand,J7H 0A5
8550,C-IGA Marché Grenier Fortin Inc.,1248 Boul. de la Vérendrye E,Gatineau,J8P 0A9
8553,C-IGA Marché Bélanger Inc.,680 Ave Chaussé,Rouyn-Noranda,J9X 4B9
8559,C-IGA Super Sobeys Capital Inc.,25 Boul. Des Entreprises,Boisbriand,J7G 3K6
8564,C-IGA IGA extra Marché Galvin,3701 Boul. St-Charles,Kirkland,H9H 4M2
8569,C-IGA Extra 9365-3848 Québec Inc.,3950 King Street Ouest,Sherbrooke,J1L 1P6
8578,C-IGA Coop Iga Amos,421  12ème Avenue,Amos,J9T 3H1
8581,C-IGA Supermarché Primeau & Fils,810 Rue St-Paul,St-Rémi Napierville,J0L 2L0
8583,C-IGA* Marché Faubourg Place J-Cartier,1401 Chemin Chambly,Longueuil,J4J 3X6
8586,C-IGA Super D. Thériault Ltée,580 Rue Victoria, Edmundston, E3V 3N1
8587,C-IGA 9181-8153 Québec Inc.,680 Chemin Du Village,Morin-Heights,J0R 1H0
8589,C-IGA Alimentation C.C.Sévigny,5805 Boul. Robert Bourassa,Vimont Laval,H7E 0A4
8615,C-IGA Supermarché Fam. Picard Inc.,2020 Route 112,St-Césaire,J0L 1T0
8618,C-IGA Sobeys Cap. Inc. Drummondville,1910 Boul. St-Joseph,Drummondville,J2B 1R2
8629,C-IGA Extra Marché Éric Lambert Inc.,105 Avenue Sénator,Rouyn-Noranda,J9X 7E7
8630,C-IGA Sobeys St-Charles Drummond,885 Boul. Faucault,St-Charles De Drummond,J2C 1A8
8634,C-IGA Sobeys Capital Inc. ( Laval),4411 Boul. de la Concorde Est,St-Vincent de Paul Laval,H7C 1M4
8644,C-IGA Marché Zimmermann N. Dame Inc.,3964 Notre-Dame Ouest,Montréal,H4C 1R1
8661,C-IGA Les Aliments Fam. Déziel Inc.,585 Chemin Vanier,Gatineau,J9J 0E9
8793,C-T COOP Unité de la Vernière,1069 Chemin Gros-Cap,Étang du Nord,G4T 3M9
